Month,Type,Value,Year,Unit,Month_num
August,Capital region,86.7,2002,Occupancy rate of rooms,8
August,North,65.8,2002,Occupancy rate of rooms,8
August,South,60.8,2002,Occupancy rate of rooms,8
August,"West, Westfjords and Southwest to 2007",65.6,2002,Occupancy rate of rooms,8
August,Total,61.3,2002,Occupancy rate of beds,8
August,East,64.7,2002,Occupancy rate of beds,8
August,Capital region,67.8,2002,Occupancy rate of beds,8
August,North,57.4,2002,Occupancy rate of beds,8
August,South,52.5,2002,Occupancy rate of beds,8
August,"West, Westfjords and Southwest to 2007",48.9,2002,Occupancy rate of beds,8
September,Total,57.1,2002,Occupancy rate of rooms,9
September,East,54.0,2002,Occupancy rate of rooms,9
September,Capital region,70.7,2002,Occupancy rate of rooms,9
September,North,43.6,2002,Occupancy rate of rooms,9
September,South,34.0,2002,Occupancy rate of rooms,9
September,"West, Westfjords and Southwest to 2007",46.6,2002,Occupancy rate of rooms,9
September,Total,40.0,2002,Occupancy rate of beds,9
September,East,40.2,2002,Occupancy rate of beds,9
September,Capital region,49.4,2002,Occupancy rate of beds,9
September,North,29.8,2002,Occupancy rate of beds,9
September,South,25.8,2002,Occupancy rate of beds,9
September,"West, Westfjords and Southwest to 2007",30.7,2002,Occupancy rate of beds,9
October,Total,45.1,2002,Occupancy rate of rooms,10
October,East,30.4,2002,Occupancy rate of rooms,10
October,Capital region,61.7,2002,Occupancy rate of rooms,10
October,North,18.9,2002,Occupancy rate of rooms,10
October,South,23.5,2002,Occupancy rate of rooms,10
October,"West, Westfjords and Southwest to 2007",33.8,2002,Occupancy rate of rooms,10
October,Total,33.4,2002,Occupancy rate of beds,10
October,East,18.5,2002,Occupancy rate of beds,10
October,Capital region,46.0,2002,Occupancy rate of beds,10
October,North,13.9,2002,Occupancy rate of beds,10
October,South,17.5,2002,Occupancy rate of beds,10
October,"West, Westfjords and Southwest to 2007",24.4,2002,Occupancy rate of beds,10
November,Total,38.5,2002,Occupancy rate of rooms,11
November,East,21.7,2002,Occupancy rate of rooms,11
November,Capital region,54.8,2002,Occupancy rate of rooms,11
November,North,16.4,2002,Occupancy rate of rooms,11
November,South,19.4,2002,Occupancy rate of rooms,11
