Country,YearMonth,Passengers,Year,Month_num,Month
Foreigners,2004M09,30900.0,2004,9,September
U.S.A.,2004M09,4530.0,2004,9,September
U.K.,2004M09,4469.0,2004,9,September
Denmark,2004M09,3612.0,2004,9,September
Finland,2004M09,813.0,2004,9,September
France,2004M09,1403.0,2004,9,September
Netherlands,2004M09,1085.0,2004,9,September
Italy,2004M09,525.0,2004,9,September
Japan,2004M09,665.0,2004,9,September
Canada,2004M09,341.0,2004,9,September
Norway,2004M09,2549.0,2004,9,September
Spain,2004M09,537.0,2004,9,September
Switzherland,2004M09,298.0,2004,9,September
Sweden,2004M09,2693.0,2004,9,September
Germany,2004M09,3420.0,2004,9,September
Other Countries,2004M09,3960.0,2004,9,September
Total Passengers,2004M10,56694.0,2004,10,October
Iceland,2004M10,31356.0,2004,10,October
Foreigners,2004M10,25338.0,2004,10,October
U.S.A.,2004M10,3605.0,2004,10,October
U.K.,2004M10,6356.0,2004,10,October
Denmark,2004M10,2799.0,2004,10,October
Finland,2004M10,550.0,2004,10,October
France,2004M10,749.0,2004,10,October
Netherlands,2004M10,530.0,2004,10,October
Italy,2004M10,209.0,2004,10,October
Japan,2004M10,237.0,2004,10,October
Canada,2004M10,183.0,2004,10,October
Norway,2004M10,2981.0,2004,10,October
Spain,2004M10,141.0,2004,10,October
Switzherland,2004M10,148.0,2004,10,October
Sweden,2004M10,2636.0,2004,10,October
Germany,2004M10,1132.0,2004,10,October
Other Countries,2004M10,3082.0,2004,10,October
Total Passengers,2004M11,45034.0,2004,11,November
Iceland,2004M11,29074.0,2004,11,November
Foreigners,2004M11,15960.0,2004,11,November
U.S.A.,2004M11,2525.0,2004,11,November
U.K.,2004M11,3507.0,2004,11,November
Denmark,2004M11,1582.0,2004,11,November
Finland,2004M11,383.0,2004,11,November
France,2004M11,575.0,2004,11,November
Netherlands,2004M11,377.0,2004,11,November
Italy,2004M11,165.0,2004,11,November
Japan,2004M11,227.0,2004,11,November
Canada,2004M11,305.0,2004,11,November
Norway,2004M11,1372.0,2004,11,November
Spain,2004M11,66.0,2004,11,November
Switzherland,2004M11,59.0,2004,11,November
Sweden,2004M11,1720.0,2004,11,November
Germany,2004M11,890.0,2004,11,November
Other Countries,2004M11,2207.0,2004,11,November
Total Passengers,2004M12,31092.0,2004,12,December
Iceland,2004M12,19355.0,2004,12,December
Foreigners,2004M12,11737.0,2004,12,December
U.S.A.,2004M12,1828.0,2004,12,December
U.K.,2004M12,2185.0,2004,12,December
Denmark,2004M12,1208.0,2004,12,December
Finland,2004M12,214.0,2004,12,December
France,2004M12,544.0,2004,12,December
Netherlands,2004M12,271.0,2004,12,December
Italy,2004M12,258.0,2004,12,December
Japan,2004M12,480.0,2004,12,December
Canada,2004M12,222.0,2004,12,December
Norway,2004M12,745.0,2004,12,December
Spain,2004M12,85.0,2004,12,December
Switzherland,2004M12,91.0,2004,12,December
Sweden,2004M12,696.0,2004,12,December
Germany,2004M12,707.0,2004,12,December
Other Countries,2004M12,2203.0,2004,12,December
Total Passengers,2005M01,37747.0,2005,1,January
Iceland,2005M01,23733.0,2005,1,January
Foreigners,2005M01,14014.0,2005,1,January
U.S.A.,2005M01,2445.0,2005,1,January
U.K.,2005M01,3112.0,2005,1,January
Denmark,2005M01,1255.0,2005,1,January
Finland,2005M01,153.0,2005,1,January
France,2005M01,577.0,2005,1,January
Netherlands,2005M01,376.0,2005,1,January
Italy,2005M01,229.0,2005,1,January
Japan,2005M01,592.0,2005,1,January
Canada,2005M01,130.0,2005,1,January
Norway,2005M01,1139.0,2005,1,January
Spain,2005M01,106.0,2005,1,January
Switzherland,2005M01,318.0,2005,1,January
Sweden,2005M01,1090.0,2005,1,January
Germany,2005M01,986.0,2005,1,January
Other Countries,2005M01,1506.0,2005,1,January
Total Passengers,2005M02,37780.0,2005,2,February
Iceland,2005M02,22619.0,2005,2,February
Foreigners,2005M02,15161.0,2005,2,February
U.S.A.,2005M02,2246.0,2005,2,February
U.K.,2005M02,4292.0,2005,2,February
Denmark,2005M02,1379.0,2005,2,February
Finland,2005M02,233.0,2005,2,February
France,2005M02,672.0,2005,2,February
Netherlands,2005M02,500.0,2005,2,February
Italy,2005M02,150.0,2005,2,February
Japan,2005M02,466.0,2005,2,February
Canada,2005M02,128.0,2005,2,February
Norway,2005M02,1630.0,2005,2,February
